STOP_ID,STOP_NAME,STOP_LAT,STOP_LON,NAME_CUR,Routes_ALL
101,242ND STREET-BWAY (Van Cortland Park),40.889248,-73.898583,242ND STREET - VAN CORTLAND PARK,1
103,238TH STREET-BWAY,40.884653,-73.900878,238TH STREET,1
104,231ST STREET-BWAY,40.878856,-73.904834,231ST STREET,1
106,225TH STREET-BWAY (Marble Hill),40.874561,-73.909831,225TH STREET - MARBLE HILL,1
107,215TH STREET-10 AV,40.869444,-73.915279,215TH STREET - 10 AV,1
108,207TH STREET-10 AV,40.864621,-73.918822,207TH STREET - 10 AV,1
109,DYCKMAN ST. - 200 STREET,40.860531,-73.925536,DYCKMAN ST - 200 STREET,1
110,191 STREET - ST. NICHOLAS,40.855225,-73.929412,191 STREET - ST NICHOLAS,1
111,181 STREET - ST. NICHOLAS,40.849505,-73.933596,181 STREET - ST NICHOLAS,1
112,168TH STREET - BWAY- WASHINGTON HGTS,40.840556,-73.940133,168TH STREET- WASHINGTON HGTS,1
113,157TH STREET - BWAY,40.834041,-73.94489,157TH STREET,1
114,145TH STREET - BWAY,40.826551,-73.95036,145TH STREET,1
115,137TH STREET - BWAY (City College),40.822008,-73.953676,137TH STREET - CITY COLLEGE,1
116,125TH STREET - BWAY,40.815581,-73.958372,125TH STREET,1
117,116TH STREET - BWAY - Columbia Univ,40.807722,-73.96411,116TH STREET - COLUMBIA UNIV,1
118,110TH STREET - BWAY - Cathedral Pkwy,40.803967,-73.966847,110TH STREET - CATHEDRAL PKWY,1
119,103RD STREET - BWAY,40.799446,-73.968379,103RD STREET,1
120,96TH STREET - BWAY,40.793919,-73.972323,96TH STREET,"1, 2, 3"
121,86TH STREET - BWAY,40.788644,-73.976218,86TH STREET,"1, 2"
122,79TH STREET - BWAY,40.783934,-73.979917,79TH STREET,"1, 2"
123,72ND STREET - BWAY,40.778453,-73.98197,72ND STREET,"1, 2, 3"
124,66TH STREET - BWAY (Lincoln Center),40.77344,-73.982209,66TH STREET - LINCOLN CENTER,"1, 2"
125,59 ST. COLUMBUS CIRCLE,40.768247,-73.981929,59 ST COLUMBUS CIRCLE,"1, 2"
126,50TH STREET-BWAY,40.761728,-73.983849,50TH STREET,"1, 2"
127,42ND ST. - TIMES SQ.,40.75529,-73.987495,42ND ST - TIMES SQ,"1, 2, 3"
