zip,irs_estimated_population_2015
501,562
544,0
601,0
602,0
603,0
604,0
605,0
606,0
610,0
611,0
612,0
613,0
614,0
616,0
617,0
622,0
623,0
624,0
627,0
631,0
636,0
637,0
638,0
641,0
646,0
647,0
650,0
652,0
653,0
656,0
659,0
660,0
662,0
664,0
667,0
669,0
670,0
674,0
676,0
677,0
678,0
680,0
681,0
682,0
683,0
685,0
687,0
688,0
690,0
692,0
693,0
694,0
698,0
703,0
704,0
705,0
707,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
723,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
744,0
745,0
751,0
754,0
757,0
765,0
766,0
767,0
769,0
771,0
772,0
773,0
775,0
777,0
778,0
780,0
782,0
783,0
784,0
785,0
786,0
791,0
792,0
794,0
795,0
801,0
802,0
803,0
804,0
805,0
820,0
821,0
822,0
823,0
824,0
830,0
831,0
840,0
841,0
850,0
851,0
901,0
902,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
933,0
934,0
935,0
936,0
937,0
939,0
940,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
965,0
966,0
968,0
969,0
970,0
971,0
975,0
976,0
977,0
978,0
979,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
1001,15220
1002,16570
1003,184
1004,794
1005,4270
1007,14180
1008,1140
1009,1238
1010,3420
1011,1090
1012,610
1013,18880
1014,354
1020,25790
1021,566
1022,1780
1026,890
1027,16320
1028,15330
1029,557
1030,11010
1031,1000
1032,470
1033,5890
1034,1860
1035,4620
1036,4880
1037,779
1038,2280
1039,1240
1040,29750
1041,1408
1050,2270
1053,1520
1054,1750
1056,18130
1057,7600
1059,70
1060,11260
1061,469
1062,10090
1063,177
1066,402
1068,1790
1069,7190
1070,540
1071,1390
1072,1350
1073,5980
1074,655
1075,14590
1077,8820
1079,992
1080,2000
1081,1490
1082,8840
1083,3037
1084,137
1085,34780
1086,886
1088,490
1089,25520
1090,510
1092,1332
1093,516
1094,340
1095,13840
1096,2310
1097,88
1098,1060
1101,2038
1102,0
1103,1580
1104,19290
1105,8040
1106,15400
1107,8420
1108,21860
1109,21920
1111,0
1115,25
1116,82
1118,12820
1119,11040
1128,2610
1129,6540
1133,0
1138,688
1139,467
1144,0
1151,7630
1152,0
1195,0
1199,0
1201,38200
1202,1387
1203,0
1220,7260
1222,730
1223,1930
1224,160
1225,2970
1226,5910
1227,262
1229,163
1230,6260
1235,2580
1236,1420
1237,2720
1238,5160
1240,4110
1242,559
1243,315
1244,328
1245,680
1247,11710
1252,281
1253,740
1254,1060
1255,600
1256,590
1257,2080
1258,600
1259,410
1260,254
1262,1342
1263,0
1264,198
1266,1240
1267,5170
1270,710
1301,14160
1302,502
1330,1310
1331,11210
1337,2440
1338,210
1339,1240
1340,1600
1341,1560
1342,1340
1343,153
1344,1390
1346,340
1347,165
1349,720
1350,35
1351,2110
1354,1450
1355,860
1360,2680
